﻿ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Regular price,Categories,Images,
61,simple,ms-000002,,مواسير,40,حجز مسبق,,
62,simple,ms-000003,,بوش عجالي,"119,99",حجز مسبق,,
63,simple,ms-000004,,الطحال,140,حجز مسبق,,
64,simple,ms-000005,,حلويات,"120,99",حجز مسبق,,
65,simple,ms-000006,,دهن كلاوي,"109,99",حجز مسبق,,http://meathouse.local/wp-content/uploads/2026/04/كلاوي-بلدي.png
66,simple,ms-000007,,فشة,90,حجز مسبق,,
67,simple,ms-000008,,لحم حواوشي بلدي,"359,99",جاهز للتسوية,,http://meathouse.local/wp-content/uploads/2026/04/رغيف-حواوشى-بلدي.png
68,simple,ms-000009,,سجق شرقي,"399,99",جاهز للتسوية,,http://meathouse.local/wp-content/uploads/2026/04/سجق-بلدي.png
69,simple,ms-000010,,برجر بلدي,"409,99",جاهز للتسوية,,http://meathouse.local/wp-content/uploads/2026/04/cut-1.png
70,simple,ms-000011,,كفتة بلدي,"409,99",جاهز للتسوية,,http://meathouse.local/wp-content/uploads/2026/04/كفتة-بلدي.png
71,simple,ms-000012,,كفتة ارز,"279,99",جاهز للتسوية,,
72,simple,ms-000013,,شاورما لحمة متبلة,"434,99",جاهز للتسوية,,
73,simple,ms-000014,,برجر شيدر,"419,99",جاهز للتسوية,,http://meathouse.local/wp-content/uploads/2026/04/برجر-بلدي.png
74,simple,ms-000015,,برجر رومي,"419,99",جاهز للتسوية,,http://meathouse.local/wp-content/uploads/2026/04/برجر-بلدي.png
75,simple,ms-000016,,شاورما لحم 15%,"479,99",جاهز للتسوية,,
76,simple,ms-000017,,مفروم بلدي عادي 30%,"424,99",جاهز للتسوية,,http://meathouse.local/wp-content/uploads/2026/04/مفروم-بلدي.png
77,simple,ms-000018,,ممبار,"169,99",جاهز للتسوية,,
78,simple,ms-000019,,ممبار محشي,"139,99",جاهز للتسوية,,
79,simple,ms-000020,,مخاصي,"349,99",حجز مسبق,,
80,simple,ms-000021,,كبده+قلب وكلاوي,"459,99",حجز مسبق,,http://meathouse.local/wp-content/uploads/2026/04/كلاوي-بلدي.png
81,simple,ms-000022,,مخ,"219,99",حجز مسبق,,
82,simple,ms-000023,,لحمه راس,"339,99",حجز مسبق,,
83,simple,ms-000024,,كوارع,"339,99",حجز مسبق,,
84,simple,ms-000025,,عكاوي,"334,99",حجز مسبق,,
85,simple,ms-000026,,قلب وكلاوي,"344,99",حجز مسبق,,http://meathouse.local/wp-content/uploads/2026/04/كلاوي-بلدي.png
86,simple,ms-000027,,كبده - بلدي صافي,"499,99",حجز مسبق,,http://meathouse.local/wp-content/uploads/2026/04/كبدة-بلدي-صافي.png
87,simple,ms-000028,,عمود سن عادي 30%,"444,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/مفروم-بلدي.png
88,simple,ms-000029,,ريش عجالي ملبس 30%,"429,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/ريش-عجالي.png
89,simple,ms-000030,,عمود سن أحمر 10%,"484,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/لحم-عمود-سن-قليل-الدسم.png
90,simple,ms-000031,,عمود سن مميز 20%,"459,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/لحم-عمود-سن-قليل-الدسم.png
91,simple,ms-000032,,كباب حلة,"459,99",جاهز للتسوية,,
92,simple,ms-000033,,كولاتة,"479,99","الكندوز, جاهز للتسوية",,
93,simple,ms-000034,,ظهر فخدة,"474,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/ظهر-الفخدة-scaled.jpg
94,simple,ms-000035,,انتروكوت / ستيك,"479,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/وش-فخدة-1536x1025-1.png
95,simple,ms-000036,,انتروكوت / قطع,"479,99",الكندوز,,
96,simple,ms-000037,,موزة,"479,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/لحمة-موزة-2.png
97,simple,ms-000038,,بوفتيك,"489,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/بوفتيك.png
98,simple,ms-000039,,وش فخدة,"489,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/وش-فخدة-1536x1025-1.png
99,simple,ms-000040,,فلتو,"499,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/عرق-فلتو.png
100,simple,ms-000041,,عرق ترياناكو,"484,99",الكندوز,,
101,simple,ms-000042,,كتف عجالي,"479,99",الكندوز,,
102,simple,ms-000043,,سمانه,"489,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/سمانة.png
103,simple,ms-000044,,قشرة,"479,99",الكندوز,,http://meathouse.local/wp-content/uploads/2026/04/صباع-قشرة-لحمة-باردة.png
